teacher_id,student_id
7254,8624
7254,9929
7254,10019
7254,13847
7256,13884
7305,10687
7331,12439
7442,4909
7560,8972
7632,13162
7667,8782
7728,13707
7870,11437
8027,7305
8126,13840
8138,8507
8138,12613
8138,13653
8138,13654
8138,13707
8138,13721
8138,13795
8159,13840
8170,2730
8170,12839
8170,13686
8170,13841
8170,13885
8181,8
8181,13692
8181,13699
8454,11130
8484,12171
8505,13707
8506,4820
8506,8507
8506,13654
8507,2060
8507,2069
8507,2070
8507,8508
8507,8825
8507,9278
8507,10355
8507,12489
8507,12553
8507,13707
8508,12742
8538,9083
8538,9895
8538,13850
8538,13879
8550,3436
8562,3436
8564,8592
8565,12980
8568,9895
8570,9394
8574,9594
8574,13653
8574,13654
8574,13659
8574,13889
8580,3436
8587,13815
8592,4291
8592,4358
8592,8181
8592,8538
8594,12980
8611,10019
8611,12180
8611,13648
8611,13820
8635,9895
8641,12180
8670,13689
8670,13879
8730,13199
8745,13856
8749,10355
8755,13859
8759,12171
8782,11363
8782,13659
8782,13749
8782,13812
8813,8972
8825,12180
8825,13697
8825,13820
8836,13820
8836,13884
8899,2541
8906,12439
8920,8972
8947,2541
8972,8344
8972,11280
8972,13884
9019,12171
9047,7250
9053,2419
9083,2541
9083,4185
9083,4273
9083,8618
9083,8957
9083,9214
9083,10019
9083,13685
9095,6770
9095,7305
9105,2998
9105,7580
9105,7582
9105,9190
9201,3266
9201,3417
9203,3485
9203,9278
9203,13162
9213,5152
9213,5153
9213,5154
9213,5155
9275,5805
9389,7373
9394,4250
9394,5805
9394,9502
9469,9426
9469,10984
9469,11007
9469,11051
9469,13591
9513,13688
9585,2069
9585,9594
9587,12742
9587,12981
9594,4413
9594,5048
9594,7632
9594,8825
9594,8887
9594,9278
9594,9586
9594,9589
9594,10063
9594,11435
9594,12040
9594,13651
9594,13654
9622,4310
9622,4820
9622,8507
9622,9895
9622,10355
9622,11290
9622,13654
9622,13677
9622,13679
9622,13721
9633,5805
9646,9594
9646,12980
9646,12981
9646,13653
9646,13654
9646,13659
9646,13809
9646,13828
9646,13850
9668,10019
9668,13843
9677,13788
9699,9895
9699,12171
9699,12980
9709,9083
9709,9895
9709,10083
9759,9761
9760,9761
9761,12255
9762,9764
9764,8745
9792,12745
9884,12981
9890,3004
9895,5083
9895,8972
9895,12981
9895,13809
9895,13847
9895,13849
9916,13861
9929,13884
9934,11437
9935,13879
9966,11290
9979,12742
9990,4820
9990,8507
9990,9278
9990,10355
9990,11290
9990,12180
9990,12479
9990,12743
9990,12981
9990,13648
9990,13654
9990,13697
9990,13707
9990,13809
9990,13811
9990,13828
9990,13841
10001,12180
10001,13811
10019,2060
10019,3553
10019,4479
10019,5237
10019,7254
10019,8180
10019,8611
10019,8836
10019,8969
10019,9083
10019,9278
10019,9722
10019,10011
10019,10146
10019,10177
10019,10188
10019,11231
10019,11242
10019,12180
10019,12653
10019,12765
10019,12839
10019,12982
10019,13282
10019,13648
10019,13811
10019,13834
10019,13843
10019,13873
10019,13874
10063,3955
10063,10355
10063,12479
10073,3485
10073,9278
10083,8574
10083,8618
10083,8974
10083,10073
10083,11017
10103,12180
10103,12839
10103,13820
10113,9278
10135,13648
10169,9278
10169,12180
10203,12479
10203,13249
10205,12741
10280,6405
10298,3417
10298,4935
10301,3417
10326,12839
10344,12741
10355,12180
10355,12314
10355,13249
10443,13889
10449,12741
10449,12745
10450,13795
10454,13825
10457,2953
10457,13884
10548,9761
10595,10019
10711,2424
10743,12839
10743,13747
10743,13748
10743,13860
10793,13884
10795,13796
10815,4820
10815,8507
10815,10355
10815,12553
10815,13246
10815,13248
10815,13249
10827,13688
10904,9618
10984,13839
11003,2541
11031,12171
11037,3436
11070,9764
11158,4310
11158,12479
11158,12613
11158,13721
11158,13793
11178,13840
11183,1869
11183,4613
11259,8972
11265,8972
11363,11385
11385,9278
11385,10355
11385,11231
11385,11252
11385,11274
11385,11437
11385,12180
11385,12653
11385,13747
11385,13820
11385,13821
11385,13842
11385,13859
11385,13860
11396,13859
11418,11385
11418,12180
11428,13811
11433,9594
11437,4168
12040,2069
12040,8507
12040,9278
12040,10355
12040,11290
12040,12180
12040,13841
12040,13860
12093,11385
12104,11385
12104,12180
12104,13860
12169,12180
12169,13820
12169,13860
12171,9467
12171,11095
12180,2165
12180,3790
12180,8147
12180,8798
12180,10355
12180,11252
12180,11274
12180,11437
12180,13658
12264,13838
12371,13839
12381,13839
12403,2939
