community_id,lat,long,map_priority_level_id,map_display_name,map_display_name_script
225,29.15336,91.76162,5,Rechung Puk,རས་ཆུང་ཕུག།
226,,,5,Puchung,ཕུ་ཆུང་།
228,30.69000,81.60000,5,Sewalung,སེ་བ་ལུང་།
229,29.28000,89.08000,5,Upalung,འུག་པ་ལུང་།
232,33.912676,77.702969,3,Hemis,ཧེ་མི་དགོན།
233,32.790873,79.002056,5,Hanle,ཝཾ་ལེ།
234,33.95905,77.78915,5,Chemrey,ལྕེ་བདེ་ཐེག་མཆོག་དགོན།
236,29.78221,91.60656,5,Tsunmo Tsel,བཙུན་མོ་ཚལ།
237,31.14336,97.17725,3,Chamdo,ཆབ་མདོ།
239,,,5,Ja,བྱ།
240,,,5,Bon,བོན།
241,31.927906,94.038873,5,Patsang,སྤ་ཚང་།
242,32.156658,93.489064,5,Lupuk Gonpa,ཀླུ་ཕུག་དགོན་པ།
243,33.24122,100.83245,5,Lungkar,ལུང་དཀར་དགོན།
244,29.446108,89.537805,1,Menri,སྨན་རི།
245,29.376049,89.461498,5,Yeru Wensakha,གཡས་རུ་དབེན་ས་ཁ།
246,30.16909,91.37098,5,Joden Gendungang,ཇོ་གདན་དགེ་འདུན་སྒང་།
247,32.19614,96.42992,5,Pelme Tekchen Evam Gatsel Ling,དཔལ་མེ་ཐེག་ཆེན་ཨེ་བ༹ཾ་དགའ་ཚལ་གླིང་།
248,,,5,Nangchen Gar,ནང་ཆེན་གར།
249,,,5,Lingga Dewachen,གླིང་དགའ་བདེ་བ་ཅན།
250,,,5,Musu Yama Monastery,མུས་སུ་ཡ་མ་དགོན།
251,29.65000,89.65000,5,Dingma,ལྡིང་མ།
253,28.96830,91.66075,4,Pelri Tekchen Ling,དཔལ་རི་ཐེག་ཆེན་གླིང་།
254,29.01364,91.72419,5,Tseringjong,ཚེ་རིང་ལྗོངས།
255,31.20000,94.03333,5,Driru Gon,འབྲི་རུ་དགོན།
259,,,5,Sinmo Dzong,སྲིན་མོ་རྫོང་།
264,,,5,Dro,གྲོ།
266,31.66667,99.73333,5,Dargye,དར་རྒྱས།
269,,,5,Tanak Serling,རྟ་ནག་གསེར་གླིང་།
270,29.46667,88.21667,5,Tanak Tubten Namgyel,རྟ་ནག་ཐུབ་བསྟན་རྣམ་རྒྱལ།
271,,,5,Japuk Dongak Dargye Ling,བྱ་ཕུག་མདོ་སྔགས་དར་རྒྱས་གླིང་།
273,34.07167,77.63281,1,Shey,ཤེལ་དཀར་ཕོ་བྲང་།
274,33.83872,103.77520,5,Azha Yarpung,འ་ཞ་ཡར་སྤུངས།
275,29.322863,89.862049,5,Dreyul Kyetsel,འབྲས་ཡུལ་སྐྱེད་ཚལ།
276,29.26667,88.33334,5,Nyenyo Jagoshong,མཉན་ཡོད་བྱ་རྒོད་གཤོངས།
277,,,5,Chokhor Lhunpo,ཆོས་འཁོར་ལྷུན་པོ།
278,,,5,Tashi Pende,བཀྲ་ཤིས་ཕན་བདེ།
280,31.707441,98.574394,5,Chakra,ལྕགས་ར།
281,,,5,Dak,དྭགས།
282,31.52646,98.84868,5,Pewar,དཔེ་ཝར།
284,,,5,Tsedong,རྩེ་གདོང་།
285,,,5,Tashi Cholung,བཀྲ་ཤིས་ཆོས་ལུང་།
