person_id,tbrc_id,default_name,tradition_id
5121,P2JM398,Chonam,1
5122,P2JM399,"Tsering Chojor",1
5159,P2JM431,"Kunzang Pema Wanggyel",1
5164,P2JM436,"Peljor Gyatso",1
5166,P2JM438,"Garwang Chokyi Gyeltsen",1
5234,P2JM5,"Ma Rinchen Chok",1
5281,P2JM8,"Sokpo Pelgyi Yeshe",1
5312,P3005,"Yutok Yonten Gonpo",1
5457,P314,"Jigme Lingpa",1
5461,P3143,"Ra Lotsāwa Dorje Drakpa",1
5588,P326,"Guru Chowang",1
5803,P3458,"Go Khukpa Lhetse",1
5805,P346,"Polhane Sonam Tobgye",1
5871,P352,"Tsangyang Gyatso",1
6010,P365,"Namkha Pel",1
6100,P3730,"Khon Konchok Gyelpo",1
6134,P3762,"Tsondru Sengge",1
6194,P3816,"Rongzom Chokyi Zangpo",1
6205,P3827,"Nyang Tingdzin Zangpo",1
6275,P3890,"Gorub Lotsāwa Chokyi Sherab",1
6285,P39,"Khyungpo Neljor",1
6395,P4,"Tsunma Yulha",1
6470,P4069,"Minyak Kunzang Sonam",1
6499,P4095,"Tenpa Tsering",1
6567,P4158,"Dutsi Gyurme",1
6568,P4159,"Lekdrub Pel",1
6653,P4236,"Pelgyi Sengge",1
6668,P425,"Nyima Drakpa",1
6681,P4261,"Drenpa Namkha",1
6738,P4312,"Yakde Paṇchen Tsondru Dargye",1
6962,P4518,"Dzeng Dharmabodhi",1
7024,P4574,"Zhangton Chobar",1
7114,P4655,"Drapa Ngonshe",1
7152,P469,"Yeshe Bumpa",1
7164,P470,"Ratna Lingpa",1
7182,P4716,"Lobzang Lhundrub",1
7232,P4762,"Lodro Rinchen Sengge",1
7272,P4799,"Bamda Gelek",1
7429,P4943,"Orgyen Lingpa",1
7551,P5055,"Orgyen Tendzin Norbu",1
7559,P8LS13218,"Tubten Kelzang Gyatso",1
7641,P5137,"Repa Karpo",1
7644,P514,"Tendzin Lekpai Dondrub",1
7681,P5174,"Lhundrub Gyatso",1
7732,P5221,"Dola Jigme Kelzang",1
7736,P5225,"Jangchub Lodro",1
7945,P5425,"Dongak Chokyi Gyatso",1
8028,P550,"Yonten Taye",1
8126,P559,"Pema Nyinje Wangpo",1
8342,P5788,"Tonmi Sambhota",1
8355,P580,"Jigme Norbu",1
8507,P5941,"Chokyi Wozer",1
8536,P5969,"Jamyang Gyeltsen",1
8538,P5970,"Lerab Lingpa",1
8543,P5975,"Tsondru Gyatso",1
8549,P5980,"Namkha Chowang",1
8551,P5982,"Orgyen Jamyang",1
8563,P5993,"Jigme Yonten Gonpo",1
8566,P5996,"Jampel Dorje",1
8574,P6002,"Drodul Pawo Dorje",1
8575,P6003,"Jigme Dechen Dorje",1
8578,P6006,"Pema Kundrol Namgyel",1
8583,P6010,"Choying Rangdrol",1
8585,P6012,"Jangchub Chokyi Nyima",1
8596,P6022,"Gyurme Kelzang Tobgyel Dorje",1
8600,P6026,"Jigme Dorje",1
8609,P6034,"Jikdrel Tutob Dorje",1
8616,P6040,"Jangchub Dorje",1
8617,P6041,"Sonam Dorje",1
