community_id,person_id
512,"1831; 2051; 3211; 4820; 8825; 9278; 10355; 10815; 12741; 13246; 13248; 13679"
1504,"11385; 12839; 13820"
1432,"3436; 10617"
1457,12180
1455,12180
1454,12180
1459,"11385; 12180"
1549,"9761; 9764; 13855; 13856; 13859"
1452,"11385; 12180"
1460,"11385; 12180"
1458,"10355; 12180"
1461,12180
1695,13859
1084,"2733; 2758; 2789; 2806; 2899; 3178; 4611; 6526; 6671; 6681; 6856; 9278; 10536; 10546; 10644; 10835; 10961; 11385; 11741; 12403; 13086; 13139; 13174; 13230; 13232; 13740; 13743; 13787; 13883"
1601,12479
1052,4114
1401,8354
473,6489
1396,13648
1608,3822
407,4727
1434,"3436; 3485; 3627; 9612; 10617"
504,2948
1502,11385
1511,11385
1512,11385
215,"1659; 2589; 2640; 2662; 2683; 2776; 4358; 5924; 5926; 5927; 5928; 8126; 8181; 8825; 9201; 10898; 11385; 12264; 13078; 13686"
1506,11385
1456,"11385; 12180"
1509,"10355; 11385"
1445,"11231; 11385"
1423,"6076; 7305; 8156; 13823"
1723,"13877; 13878"
1739,13884
1740,13884
1735,13884
1734,13884
9,"2118; 2589; 2776; 2780; 2781; 2992; 3436; 4028; 4140; 4291; 4358; 4622; 4691; 5151; 7152; 7254; 7582; 7736; 8177; 8181; 8536; 8538; 8539; 8543; 8549; 8551; 8562; 8563; 8566; 8567; 8574; 8575; 8580; 8583; 8584; 8585; 8592; 8596; 8600; 8603; 8609; 8610; 8616; 8617; 8618; 8624; 8625; 8629; 8630; 8631; 8633; 9047; 9083; 9105; 9190; 9297; 9372; 9593; 9612; 9895; 9929; 9990; 10018; 10019; 10093; 10355; 10422; 10571; 10572; 10573; 10647; 10649; 10654; 10656; 10658; 10659; 10673; 10676; 10678; 12980; 12982; 13134; 13157; 13169; 13170; 13228; 13884"
1014,8624
1729,13884
1173,9593
1704,2992
450,"4125; 11603; 13850"
1414,7305
1234,10497
994,"2670; 4170; 11307"
1642,12981
459,"5889; 6025; 7170; 13547"
961,7373
1569,9047
703,13233
1190,13588
720,8825
1510,11385
445,"2069; 4820; 8507; 9278; 9593; 9622; 9990; 10355; 12180; 12500; 12553; 12742; 12743; 13707"
1243,2069
1087,12100
154,"3881; 6134"
141,"2584; 4043; 8857; 9513; 11352; 13086"
314,6175
834,2504
1083,"1659; 4028; 4291; 13109; 13139; 13659"
1291,8538
1244,8538
1316,"9945; 13617; 13688; 13689; 13810; 13817; 13879"
811,"4358; 5999"
1091,"6353; 13547"
1265,9590
1364,"6681; 10961; 13566"
263,13086
1009,2784
1633,"13697; 13811; 13828"
1380,4622
413,"1852; 1901; 1903; 3049; 11569; 11575; 13168"
484,"1575; 1901; 1902; 1903; 3049; 4196; 9703; 11569; 11575; 13168"
1142,"1871; 3883; 4611; 5871"
