"Place Name",community_id,person_id
"Chamdo Jampa Ling ",237,"29; 2328; 2329; 2462; 2592; 3778; 3782; 3783; 3784; 3785; 3786; 3788; 3789; 3791; 3792; 3793; 3794; 3795; 3877; 3989; 4002; 4285; 5137; 5897; 6340; 6373; 6770; 6793; 6935; 8076; 8085; 8101; 8103; 9126; 9693; 9750; 11565; 11597; 11618; 13078; 13097; 13098; 13099; 13100; 13101; 13102; 13103; 13104; 13105; 13106; 13107; 13108; 13109; 13110; 13404; 13423"
"Changlung Choding ",109,13064
"Changlung Monastery",1249,4358
"Changma Gar",526,"5122; 10457"
"Changra Samdrubtse",1687,"2720; 7581"
Charasa,1418,7305
"Chekar Chode",198,"12828; 13541"
Chekha,435,5791
Chemrey,234,10536
"Chenye Monastery",1218,"5500; 7114"
"Cheri Monastery",307,"7622; 7803; 7815"
Chimilung,1247,7565
"Chitokha Puntsok Rabten Ling ",381,"3000; 7644; 13133"
Chobar,1653,13773
"Choding Monastery",134,10824
"Chodrak Gon",1226,4125
"Choje Monastery",209,"4358; 8752; 11632"
"Chokhor Gang",1197,11285
"Chokhor Gyel",466,"4141; 4720; 5901; 6874; 8108; 9361; 11114"
"Chokhor Ling",1476,"4309; 7007"
"Chokhor Tse",106,"2434; 13064"
"Chokhor Uding",186,13026
"Cholung Jangtse",119,"2670; 2712; 4085; 11437"
"Chone Ganden Shedrub Ling",354,"2788; 2926; 2931; 3072; 5652; 5706; 5897; 6331; 6332; 6333; 6334; 6335; 6336; 6337; 6338; 6339; 6341; 6342; 6343; 6344; 6345; 6346; 6348; 6349; 6350; 6353; 7881; 13502; 13507; 13544; 13547; 13550"
"Chopra House",1471,7007
"Chorten Kyak",502,6635
"Chorten Tang Tashi Dargye Ling ",441,"2755; 3134; 3739; 6419; 9873"
"Chozang Ritro",1152,3225
"Chubar Hermitage",1068,"3877; 10835"
Chubzang,112,"4497; 6466; 9574"
"Chubzang Hermitage (Sera)",1021,"3989; 4000; 4309; 6009"
"Chukha Monastery",597,5626
"Chukyer Gonsar",235,11352
Chumik,1329,"4086; 12838"
"Chunak Tashi Choling",442,3134
"Chung Riwoche ",115,"3004; 9030; 13065"
"Chungchen Peldzong",1296,9990
Chungtang,1552,9761
"Chushur Tarpa Ling",827,6065
"Chuwar Monastery",1292,13240
CIHTS,1707,40
"Dab Yangteng Monastery",351,4487
Dachen,1365,10961
Daci'ensi,1378,13633
"Dagam Wangpuk",1430,"4358; 7442; 8181"
"Dago Monastery",1212,"8972; 10018"
"Daklha Gampo",63,"620; 2584; 2589; 2595; 2662; 2683; 3121; 3165; 3168; 3169; 3175; 3182; 7523; 9126; 10258; 13242"
"Dakpo Draka",217,2683
"Dakpo Dratsang ",298,"3171; 4489; 7093; 7565; 8107; 8109; 9062"
Daktok,1398,13650
"Dambadarjaa Monastery",1295,7069
Damtok,1488,4820
Dangkhar,1394,8108
"Dar Chode",310,6286
"Dar Drangmoche",33,"2338; 4310; 5858; 10548; 12613; 13721"
"Dargye Monastery",266,"5381; 8103"
"Darnga Hermitage",204,8752
"Darpoling Tsenkhang",911,10687
"Dartang Monastery",567,"8753; 8754; 8757; 8892; 8972; 9083; 11003; 12171"
"Dartsang Kelzang Monastery",957,"9688; 10083"
"Dashchoilin Khiid",1679,11437
"Datsan Gunzechoinei",1055,13510
Datsang,1487,5824
Datsen,1043,8861
"Dechen Sangngak Khar",343,"4265; 4276; 4489; 4494; 5706; 6286; 6466; 6526; 8108; 8109"
"Dechen Teng",231,"9201; 9634"
Dechenpuk,1270,10442
"Dedzom Gatsel",496,1564
"Demola Monastery",279,"3778; 3788; 3789; 3791; 6340; 6690; 13096; 13113"
"Den Chokhor",256,"8085; 13094"
"Denang Monastery",489,7945
Densatil,64,"2539; 2595; 2799; 2899; 3121; 3736; 4086; 4358; 4368; 6159; 6756; 7636; 8474; 10835; 11141; 11877; 13073; 13437; 13707"
"Dentik ",290,"2441; 2948; 4607; 9618"
"Derge Parkhang",412,"3485; 4358; 6499; 9383; 10699; 11972; 12741; 13532; 13533"
"Dezhung Monastery",179,"10355; 10815; 12500; 12980"
"Dhagpo Kagyu Ling",1507,11385
"Dharma Swami Buddha Vihara",1594,"12479; 13745"
Dilyak,1701,13860
"Dingma Monastery",251,2340
Dingpoche,1157,"7429; 13863"
"Dingri Langkhor",711,"2510; 2806; 5644; 6721"
Diskit,1417,"7305; 7525"
"Ditsa Tashi Choding ",375,"2788; 2945; 2948; 3296; 3866; 3889; 3977; 8861; 9712; 13698"
"Do Dorje Drak",1323,13617
"Do Dzong Hermitage",1646,"3436; 3627; 9612"
"Dobi Ganden Pelgye Ling",372,"4611; 4642"
"Dodedrak Monastery ",386,8028
"Dodrubchen Monastery",48,"2541; 4185; 4272; 4676; 9579; 12171"
Dodzong,159,7636
"Dokho Monastery",1743,12980
Doling,1528,13687
"Dongkar Dzong",1285,6874
Dongtok,1630,13806
"Dongtre Samten Ling",569,7718
Dopuk,499,6635
"Dori Hermitage",491,7945
"Doring Manor House",852,5306
"Dorje Drak",11,"2997; 3006; 3866; 3883; 8181; 8964; 8975; 9126; 9158; 9169; 9254; 9383; 9513; 9935; 13190; 13191; 13617; 13654; 13689; 13817"
Dosib,1563,13707
"Drak Lhalubuk",1359,6205
"Drak Yerpa",862,"2819; 4358; 4490; 8538; 9126; 9618; 10083; 12839"
"Drak Yongdzong",863,"3006; 4358; 4626; 5151; 7442; 8474; 8857; 9126; 9169; 9579; 9935; 10373; 13189; 13707"
Drakkar,1556,3485
"Drakkar Gepel Ling",587,12785
"Drakkar Gyelmo",461,"2926; 3080; 4607; 6536; 7105"
"Drakkar Jago",1366,10961
"Drakkar Tashiding",1144,"9761; 11741; 13687"
"Drakkar Taso",1232,"2758; 3178; 9634; 10355"
"Drakkar Treldzong",1711,9083
"Drakkar Treldzong Monastery",716,4611
"Draklha Gampo",1710,9083
"Drakmar Drinzang",1356,"9574; 12171"
"Drakmar Keutsang",1465,"7442; 13654"
"Drakram ",96,"2812; 2823; 4113"
"Drakri Hermitage",841,13683
"Draksum Puri",1137,13112
"Drakwar Monastery",326,7083
Dramagang,1562,"8507; 10355"
"Dranang Jampa Ling",1373,"5894; 13863"
Dranggo,1108,8754
Dranggyekha,1532,"3266; 9761"
"Drangjekha ",417,7874
Drango,448,13171
"Drapu Choling",1546,"9761; 13859"
Dratang,52,"3006; 3937; 4358; 7114; 11285; 13863"
"Drati House",1268,5485
"Drayab Monastery",1281,2591
"Drentang Monastery",1250,7326
"Drepung (India)",1472,"7007; 8156"
"Drepung Deyang College",908,13725
"Drepung Gomang Dratsang",342,"1564; 2393; 2436; 2441; 2442; 2456; 2758; 2784; 2872; 2996; 3008; 3064; 3086; 3173; 3307; 3758; 3769; 3866; 4163; 4206; 4380; 4488; 4490; 4493; 4607; 4642; 4720; 5317; 5328; 5338; 5360; 5729; 5796; 6161; 6185; 6466; 6493; 6502; 6505; 6548; 6622; 6635; 6646; 6670; 6731; 7162; 7170; 7232; 7882; 8184; 9055; 9254; 9693; 10394; 11437; 13182; 13183; 13195; 13202; 13510"
"Drepung Loseling College",355,"4000; 4092; 4276; 4277; 4494; 4495; 4499; 5381; 6498; 7007; 7743; 7895; 9050; 9051; 11131; 13109; 13628; 13652; 13683; 13823"
"Drepung Monastery",38,"29; 1637; 1901; 2327; 2328; 2330; 2339; 2399; 2436; 2462; 2506; 2758; 2787; 2912; 2949; 3008; 3040; 3064; 3085; 3107; 3225; 3307; 3758; 3782; 3866; 3877; 3955; 3989; 4092; 4141; 4259; 4285; 4314; 4535; 4730; 5317; 5338; 5805; 5849; 5871; 5897; 6009; 6065; 6110; 6161; 6286; 6470; 6535; 6536; 6670; 6746; 6874; 6910; 6935; 6953; 6997; 7007; 7107; 7162; 7232; 8103; 8986; 9062; 9126; 9213; 9254; 9839; 9873; 10579; 11114; 11131; 11437; 11565; 11731; 12096; 12828; 12883; 13026; 13168; 13182; 13423; 13519; 13596; 13625; 13628; 13652; 13683; 13694; 13708; 13725; 13737; 13740; 13743; 13744; 13822"
"Drepung Ngakpa Dratsang",909,"5461; 6646"
"Drepung Zurkhang",543,10623
"Dreyul Kyetsel ",275,"1985; 3004; 3152; 3736; 7370; 9213; 10528; 13721"
"Drigung Til",82,"61; 620; 2561; 2584; 2595; 2606; 2774; 2789; 2899; 3010; 3890; 3902; 3903; 3904; 3906; 3936; 3939; 5997; 6134; 6138; 6147; 6405; 6578; 6721; 7038; 7040; 7637; 8181; 8964; 9171; 10093; 10536; 10824; 11299; 12405; 13230; 13232; 13233; 13236; 13237; 13238; 13239; 13240; 13242; 13429; 13430; 13431; 13432; 13433; 13434; 13435; 13436; 13437; 13438; 13439; 13440; 13442; 13443; 13445; 13446; 13447; 13448; 13450; 13613; 13625; 13821"
"Drilma Sangngak Choding",1693,13855
Drinyendong,1466,"7442; 8181"
"Driru Drubde",1023,3989
"Driru Gon",255,6770
"Drokge Monastery",1282,1869
"Drolma Podrang",938,13186
"Dromda Monastery",350,5796
Drongtse,838,"4265; 5426"
