"Place Name",community_id,person_id
"Kyodrak Monastery",1338,4358
"Kyormolung ",325,"4276; 5432; 6351; 8354; 9693; 9795"
Labchi,1163,"2899; 4611; 6856; 8454; 10536; 10835; 13240"
"Labrang Gyume Dratsang",1523,6646
"Labrang Gyuto Dratsang",1522,"2784; 7882"
"Labrang Hevajra College",922,"2758; 7881"
"Labrang Kālacakra College",920,"2943; 2996"
"Labrang Medical College",921,"2996; 13731"
"Labrang Shar",1220,"4217; 4219; 5408"
"Labrang Tashikhyil",41,"1901; 2235; 2237; 2238; 2409; 2436; 2495; 2506; 2521; 2758; 2784; 2787; 2788; 2943; 2948; 2949; 2953; 2996; 3008; 3064; 3074; 3080; 3086; 3134; 3296; 3733; 3758; 3769; 3866; 3889; 4196; 4607; 4642; 4720; 4730; 5338; 5410; 5436; 5490; 5889; 5902; 5910; 6025; 6045; 6110; 6198; 6350; 6353; 6502; 6505; 6529; 6535; 6536; 6622; 6634; 6646; 6731; 6760; 6818; 6928; 6929; 7105; 7107; 7170; 7876; 7876; 7877; 7879; 7882; 7937; 8069; 8128; 8184; 9523; 12171; 13176; 13547; 13731; 13866"
"Labsum Shedrub Ling",1479,"7007; 10355"
Labu,1578,13865
Lachab,1517,"12839; 13686; 13748; 13749; 13750"
"Lachen Monastery",1685,9764
"Ladring Chode",311,6219
"Lama Ling",1672,10019
Lamayuru,821,10199
"Lamo Dechen ",401,"2436; 2527; 2974; 3061; 3062; 3064; 3296; 3769; 6099; 6161; 8860; 8861; 13175; 13176"
"Lampar Monastery",537,10857
"Langling Monastery",1018,6770
Langna,447,"2051; 11883; 13186; 13806"
Langtang,199,"6285; 10644"
"Larung Gar",527,"2953; 10093; 10457; 13810; 13819"
Lautang,1435,"3436; 3627; 9612"
"Layak Guru Lhakhang",828,5588
"Legon Chokyi Podrang ",945,13440
"Lek Gon",1056,8574
"Lekdrub Dratsang",189,12521
"Lelung Monastery",1324,9361
"Lerab Ling",1613,13697
Lhachuk,75,6547
"Lhadong Gon",576,7775
"Lhadrang Monastery",1339,"4358; 9278; 13654"
"Lhadzong Tashigang ",390,7895
Lhagang,127,"4164; 10355; 10811; 12743"
"Lhakhang Labrang",937,"5626; 7545"
Lhalam,1516,"12839; 13686; 13692; 13747"
"Lhalung Gon",529,"2665; 5511; 9618; 13128"
"Lhalung Ritro",1560,13725
"Lhamo Latso",1221,"3307; 11114; 11437"
Lharitse,187,13026
"Lhasa Tsuklakhang ",877,"2953; 3152; 3169; 3182; 3307; 3736; 3822; 3866; 4168; 4358; 5805; 5824; 5897; 6009; 6065; 6076; 6646; 7162; 7305; 8455; 8538; 8964; 8986; 9105; 9469; 10811; 12980; 13652; 13683; 13724; 13805; 13816"
"Lhatel Rinchen Ling",129,2789
Lhateng,1205,"2683; 9201"
"Lhetag Monastery",425,9062
"Lho Chotritang ",286,"2328; 3778; 13096"
"Lhodrak Drowa Gon",293,"2592; 2593; 5817; 5818; 5819"
"Lhogyu Sera",487,7945
"Lhopa Khamtsen",1315,3877
"Lhundrub Deyang",388,4372
"Lhundrub Dzong",492,1564
Lhundrubteng,207,"8; 2336; 2720; 2953; 5641; 6499; 6668; 7581; 7803; 8507; 9105; 9278; 9594; 9622; 9990; 10355; 10617; 10644; 11290; 11883; 11972; 12745; 13187; 13249; 13511; 13512; 13513; 13514; 13515; 13528; 13532; 13533; 13654; 13699; 13700; 13702"
"Lhunpo Tse",574,3762
Likir,1103,"13737; 13823"
"Ling Khamtsen",1231,"7007; 11131"
"Ling Khamtsen (India)",1478,7007
"Lingga Dewachen ",249,"1898; 10591"
Lingshed,1662,13823
"Lingto College",1186,11597
"Lingtsang Labrang",879,7007
"Lingyin Temple",1609,3822
"Litang Chokhor Ling",137,12828
"Litang Nyingma Dratsang",1016,8603
"Lo Gekar",1593,"13790; 13791"
"Lo Monastery",1294,"5820; 7090"
"Longtang Drolma Lhakhang",181,"4358; 7326; 8578; 10815"
"Luchung Taktsang Gon",416,"6345; 6353"
Lukhang,878,"5871; 13683"
Lumbini,1494,"10355; 13745"
"Lung-ngon Monastery",1762,2953
"Lupuk Gonpa ",242,12096
"Magur Namgyel Ling",434,"3061; 6667; 8861"
"Mahā Kyilung",1431,"3485; 3627; 9612; 10617"
"Mahasiddha Nyingmapa Center",1725,13884
Manasarovar,1222,"2662; 2806; 6979; 9923; 12403; 13174; 13566; 13740; 13743; 13883"
"Mandal Gon",1183,"4358; 9622"
Mangdu,1180,6586
"Mangyul Jamtrin Lhakhang",1125,"13877; 13878"
Māratika,1073,"9; 7442; 9278; 13648"
"Martang Obten",482,6045
"Martsang Drak Gon",533,6161
Matho,1405,13652
Mawochok,553,"2810; 4358; 5999; 6010; 13843"
"Mejung Tosam Ling",923,"2943; 6646; 7879"
"Meldro Chakar Gon",318,"2871; 2891; 8354; 8964; 13195"
Men-tsee-khang,1530,"12439; 13693; 13694"
Menchu,117,3939
Mending,116,13065
"Menkhar Pende Ling",1036,5326
"Menlung Tashi Chopel Ling",1147,2943
"Menlung Trengpachen",1126,2427
Menri,244,"2980; 2987; 10961; 12096; 13118; 13132; 13135; 13140; 13174; 13220; 13221; 13531; 13596"
"Menri (Dolanji)",1266,13596
Mentsikhang,915,"3307; 3955; 5894; 5897; 8906; 12439; 13598; 13693; 13694"
Merigar,1756,9278
"Mersho Monastery",1115,5641
"Meru Dratsang",880,6498
"Meru Nyingpa",722,5717
"Mewa Monastery",1761,2953
Mindroling,10,"3883; 4080; 4291; 4358; 4659; 4691; 5151; 5159; 5805; 6668; 6982; 8181; 9254; 9361; 9383; 9394; 9579; 9590; 10633; 11741; 12980; 13123; 13124; 13197; 13453; 13454; 13455; 13654; 13692"
"Minyak Kyernang",1433,10617
"Mokru Ganden Jampeling",365,9523
"Monkhar Namseling",523,"9169; 13190"
"Montang Chode",1600,12479
"Moscow Buddhist Center Lama Tsongkhapa",1683,11437
"Muge Tashikhorlo ",367,"1575; 2949; 5824; 9523; 9873; 11569"
Mugulung,825,"4354; 6100"
Muksang,1096,"8972; 9047; 9105; 9190"
"Mulagandhakuti Vihara",1410,13652
"Musu Yama Monastery",250,1898
"Nagi Gonpa",1537,12839
"Nakchung Ritro",510,"4228; 11427"
"Nakdo Monastery",1038,6344
Nālandā,1065,"1728; 2810; 4354; 5461; 5717; 6037; 6892; 10280; 10546; 13066"
"Nalatse Nepoche",1025,"2916; 5401"
"Nalendra Monastery",128,"1820; 1985; 4119; 4220; 4310; 6351; 6735; 10355; 10579; 11158; 12479; 12613; 13131; 13707; 13721; 13787; 13788; 13789; 13790; 13793; 13798; 13806"
"Namchen Drakkar",1227,8181
Namdroling,688,"8972; 10146; 11741"
"Namgyal Institute of Tibetology",1354,11741
Namgyel,892,"2339; 3085; 3107; 3307; 4141; 4259; 4314; 4469; 5871; 6065; 12828"
"Namgyel (Dharamsala)",1727,13884
"Namgyel Chode",1596,"12479; 13790"
"Namgyel Ling",1341,"4358; 10699"
"Namkha Dzod",1053,4115
"Namkyak Monastery",503,6635
"Namo Buddha",1333,"7007; 8782"
"Namtseding Monastery",1297,8571
Namtso,1272,"1659; 2584; 6037; 6668; 6671; 6681; 7673; 13165; 13233"
"Nangchen Gar",248,8181
Nangra,1165,"2755; 2854; 2996"
Nangtseshar,904,3866
"Napu Monastery",73,"11865; 11877"
"Naropa University",1442,"11231; 11385"
Nartang,62,"2181; 2483; 2577; 2578; 2662; 2845; 2866; 3762; 3957; 4114; 4150; 4168; 4261; 4359; 5555; 5750; 5790; 5805; 6037; 6393; 6491; 6895; 8730; 10480; 10579; 10623; 10687; 13199"
Nateng,1368,10961
"Ne Chode",1176,7083
"Nechen Pema Ritro",1647,"3627; 9612"
Nechung,893,"6065; 13628; 13725"
"Nedong Tsetsokpa",1196,"8964; 11285"
"Nedruk Lhakhang",1276,3194
"Nego Monastery",1676,9895
"Nekhar Monastery",1001,"3165; 3175"
Nenang,331,"1659; 4358; 9634; 12839"
Nenying,120,"2670; 8354; 10480"
"Neten Monastery",59,"2069; 8181; 13747"
Neuzur,291,2591
"Ney Monastery",1386,5820
"Ngagar Jangchub Ling",474,"3296; 6099; 6670"
"Ngamring Chode ",333,"2812; 2997; 3736; 4092; 4170; 5985; 6278; 6586; 8105; 10452; 10548; 10591"
"Ngangkyel Chode",944,13435
"Ngari Dratsang",140,"7565; 9361; 11114"
"Ngawa Gomang",368,"2787; 2943; 4730; 9523"
"Ngedon Dongak Chokhor Ling",1352,9945
"Ngedongyi Chozhi Gonde",956,4166
"Ngor Ewaṃ Choden",32,"1820; 1831; 1898; 1930; 1963; 2340; 2387; 2866; 3200; 3671; 4085; 4119; 4164; 4217; 4219; 4220; 4221; 4222; 4223; 4224; 4225; 4227; 4291; 4820; 7064; 7581; 7718; 9105; 9213; 9990; 10202; 10203; 10452; 10462; 10470; 10497; 10507; 10528; 10623; 10633; 10644; 10699; 10742; 10753; 10815; 11972; 12479; 12741; 12743; 12745; 13246; 13248; 13249; 13511; 13532; 13647; 13654; 13677; 13679; 13721; 13745; 13787; 13788; 13794; 13795; 13796; 13797; 13798"
"Ngulchu Hermitage",295,"3153; 4402; 4631"
"Ngulra Monastery",362,7937
Norbulingkha,906,"2339; 2419; 3107; 3307; 3822; 4141; 4259; 4314; 5897; 7007; 12479; 13628; 13683; 13694"
"Nub Padmo De",1228,3141
"Nubzur Gon",525,10457
"Nyakla Gar",1307,3770
"Nyamyo Jashong Monastery",1012,2340
"Nyang Tarpa Ling",446,2845
"Nyangto Sertreng Monastery",986,6620
Nyarma,910,10199
"Nyarong Gojam Gon",1224,4125
"Nyarongsha School",1327,"13628; 13683; 13724"
"Nyedo Monastery",713,"6134; 6726"
Nyegon,1042,8861
"Nyel Drewule Gon",538,10857
"Nyenchen Tanglha",1402,"1659; 6668; 6690; 13086; 13092; 13196; 13707; 13817"
Nyenlung,697,"2953; 8650; 8651; 9083"
"Nyenyo Jagoshong ",276,"7370; 10452"
"Nyetang Drolma Lhakang",92,"2491; 2801; 3673; 3936; 3939; 5717; 6452"
"Nyetang Longdol Hermitage ",306,"3877; 11865"
"Nyetang Mokchok",1317,"3877; 12180"
"Nyima Changra",1051,"9622; 10093"
"Nyima Tang Monastery ",312,"6219; 9062"
"Nyimalung Monastery",917,10482
"Nyingma Institute",1664,10019
"Nyingma Kathok Buddhist Center",1728,13884
Nyingon,826,"2992; 8584; 8596; 8603; 8616; 8617"
"Nyoshul Jonpalung Monastery",44,"8177; 9895; 9929; 12980"
Odantapuri,1331,"23; 10280"
"Old Ditsa",212,"3866; 4077; 13176; 13177"
Ongsum,1093,6353
"Orgyen Chö Dzong",1667,10019
"Orgyen Dorje Den",1737,13884
Oso,475,6099
"Pabongkha Hermitage ",423,"3989; 6622; 8986; 9062; 12479"
"Padum Palace",1589,13743
"Pajoding ",415,"7815; 7874"
"Pakmo Chode",357,"2819; 4495; 8086; 8097"
"Palri Pema Od Ling",1738,13884
Palung,98,5858
"Palyul Retreat Center",1657,8972
"Pangdatsang Manor House",844,"12980; 13519; 13520; 13521; 13522; 13523; 13625; 13708"
Pangpuk,1342,4358
"Pangsa Monastery",959,3744
Pangshar,1627,13248
"Pari Tashi Choling ",346,5729
"Paro Lateng Monastery",384,8028
"Paro Taktsang",1145,"96; 10019; 10311; 10373; 11385; 13086; 13119; 13121; 13648"
"Parpu Monastery",151,"6159; 7636"
"Pasho Gon",535,"4163; 4380; 5328; 6580; 9693; 10394"
"Patsang Gon Yungdrung Rabten Ling",241,12096
"Pekar Choling",1201,13588
"Pel Nyenmo Ri Namgyel",455,"5897; 7945"
Pelbar,814,"29; 2814"
"Pelge Samten Ling",1170,4425
"Pelkhor Chode",102,"3152; 3736; 4168; 5805; 6856; 7348; 9213; 11285; 12521; 12553; 13063; 13863"
"Pelme Tekchen Evam Gatsel Ling ",247,8181
Pelpung,472,"2541; 2640; 2730; 4228; 4291; 4358; 4691; 6499; 8126; 8181; 8507; 8825; 8892; 9047; 9622; 9990; 10018; 10355; 11385; 12180; 13230; 13659; 13686; 13692; 13707; 13721; 13747; 13837; 13838; 13839; 13840; 13841; 13860"
Pelri,1649,"3627; 9612"
"Pelri Tekchen Ling ",253,"3627; 5457; 6668; 8964; 9469"
Pelteng,124,3937
"Pelyul Monastery",14,"2992; 4358; 4622; 4676; 7581; 7582; 7681; 8574; 8584; 8753; 8754; 8757; 8892; 8972; 9047; 9105; 9126; 9190; 9895; 10018; 11003; 11245; 11246; 11258; 11277; 11278; 11279; 13511; 13864"
"Pema Choling",1544,12839
"Pema Khyung Dzong",1541,"10019; 12839; 13686"
"Pema Ritro",1436,"2541; 3436; 9895; 10617"
"Pema Shelpuk",1245,"4291; 8181; 8538; 8825; 13653; 13654"
"Pemaling Lake",1350,4358
Pemayangtse,1353,"11741; 13648; 13687; 13812"
"Penyul Drosa",1259,10480
"Pethub Stangey Choskhorling",1412,13652
"Petseling Jangchub Pelri Monastery ",371,"13121; 13123"
"Petub Khamsten",1409,13652
Pewar,282,"4358; 13230"
Phuktal,1422,"6076; 7305; 13823"
Phyang,701,"13738; 13821; 13824; 13825"
"Pokhang ",101,4168
"Pombora Khamtsen",1480,"5706; 5901; 13666"
"Pomda Sangngak Dechen Monastery",1273,"3778; 3789"
"Porong Pelmo Choding Monastery ",560,13205
Potala,905,"2180; 2339; 2419; 2787; 3107; 3152; 3307; 3866; 4141; 4259; 4282; 4309; 4314; 4358; 4380; 4469; 5652; 5871; 6009; 6065; 6874; 7007; 8538; 9361; 13628; 13652; 13683; 13707"
"Potala School",1557,"13628; 13683; 13701"
"Potima ",267,8103
Poto,224,5786
Puchung,226,"5822; 6452"
"Pulung Rinchen Ling",687,"2639; 10824; 13235; 13236"
"Punakha Dzong",405,"7601; 7622; 7719; 7803; 7815; 13740; 13743"
"Pungpo Riwoche",1336,"2740; 3004"
"Punkhang Manor House",846,"7929; 13425"
"Puntsok Podrang",939,"10613; 11883"
"Puntsok Samten Ling ",108,13064
Purbuchok,294,"1586; 2329; 3008; 3414; 5479"
Rablo,359,4498
Rabten,1567,13707
"Ragya Ganden Tashi Jungne",468,"2974; 3822; 5479; 13201"
Rahor,1110,"8754; 11741"
"Rakadrak Hermitage",321,"1586; 8986"
"Rakchab Sengri Dorje Yudzong",430,"8625; 8972"
Raknyak,1002,13679
Ralong,1529,13687
"Ralung Monastery",87,"2338; 2670; 2801; 3004; 3028; 3307; 3736; 3759; 3822; 4348; 4349; 4350; 4352; 8361; 8637; 10442; 10531; 10536; 10857; 11441; 11865; 11877; 11898; 11909; 11942; 11986; 13125; 13740; 13743"
"Ramoche ",899,"2812; 3182; 7162; 9383; 9935; 10811; 13693"
Rashel,1261,6470
Rashuk,205,8752
Rato,305,"2854; 2912; 3877; 9213; 10480"
"Rechung Puk",225,"1981; 6856; 9126"
"Reting Monastery",327,"2327; 2591; 2598; 2638; 3307; 3822; 4267; 4358; 5805; 6452; 6526; 6874; 7083; 8108; 8571; 8986; 9083; 9126; 9254; 13654; 13707; 13805"
Richung,1644,"8455; 8456"
Ridrak,1403,12180
"Rigdzin Gatsel",1639,12981
"Rigdzin Gatsel Ling ",1671,"10019; 13843"
"Rigdzin Ling",1641,12981
"Rigdzin Rapel Ling",1004,9254
"Rigo Tashi Chodzong Castle ",1077,"11796; 12865; 13536; 13537; 13538; 13539; 13541; 13542; 13543; 13558; 13559; 13562"
Rigyel,808,13118
"Rikhud Monastery",557,"6668; 10355"
Rinak,1692,13859
"Rinchen Drak",335,8105
"Rinchen Gang Labrang",935,2491
"Rinchen Ling",135,2327
Rinding,1592,13745
"Ringu Monastery",1216,4358
"Rinpung Monastery",1362,10961
"Ripuk Hermitage",657,"2845; 4660; 7512"
"Riwo Dangchen",1400,8354
"Riwo Dechen",334,"4150; 4265"
"Riwo Gegye Ganden Shedrubling",1191,7162
"Riwo Gepel",191,"3040; 6646; 12521"
"Riwo Jakang",1169,13167
"Riwoche Monastery",218,"2069; 6489; 10019; 10083; 10315; 13067; 13068; 13069; 13070; 13071; 13072; 13141; 13686; 13749"
"Riwoche Yanggon",219,"13067; 13068; 13069; 13070; 13071; 13141"
Rizong,1575,12403
"Roerich House",1312,"3866; 13687"
Rokam,78,"4175; 6578; 13434"
"Rong Jamchen",839,"3736; 10644; 12521"
"Rong Ngurmik",183,2916
"Rongme Karmo Taktsang",1046,"4228; 4291; 8181; 12180"
"Rongwo Monastery",374,"1564; 2469; 2521; 2948; 2974; 3296; 3889; 4524; 4665; 5436; 5490; 5897; 6045; 6185; 6493; 6634; 6729; 7170; 7172; 8861; 9254; 9753; 9873; 10957; 13201"
"Rongwo Tantric College",941,6493
"Ru Gonsar",1521,13684
"Rudam Yangwen Sengdruk Puk",970,4659
Rumtek,968,"11385; 11645; 13152; 13885"
"Sabzang Ganden",122,"2387; 2801; 6257"
"Sadutshang Manor House",1092,"13545; 13546; 13549; 13805"
"Sakar Samdrub Ling",1188,"8825; 10699"
"Sakya Drakshar",272,1963
"Sakya Mendrong",1128,6801
"Sakya Monastery",603,"1974; 2051; 2137; 2314; 2434; 2491; 2670; 2790; 2801; 2812; 2845; 2915; 2916; 2919; 2943; 2949; 3152; 3188; 3189; 3191; 3194; 3204; 3208; 3211; 3736; 3939; 4086; 4113; 4217; 4219; 4249; 4291; 4327; 5408; 5693; 6100; 6351; 6405; 7053; 7064; 7348; 7512; 7545; 7882; 8454; 8571; 9095; 9105; 10202; 10355; 10452; 10470; 10480; 10528; 10548; 10613; 10633; 10699; 10742; 10753; 10815; 11866; 11883; 11972; 12479; 12553; 12613; 13186; 13523; 13532; 13625; 13654; 13679; 13697; 13707; 13721; 13745; 13787; 13788"
"Sakya Monastery, Seattle",1572,"10019; 10355; 12479"
"Samding Monastery",564,"3822; 4168; 8454; 13205; 13206; 13510"
"Samdrub Ling",193,"3006; 4223; 9923; 10497"
"Samling Monastery",591,6620
"Sampho Manor house",845,3107
Samstanling,1408,"12403; 13652"
"Samten Tse",1745,13885
"Samye Chimpu",951,"495; 2882; 3000; 4267; 4358; 4622; 5457; 9083; 9126; 9574; 10298; 10373; 11741; 12980; 13654"
"Samye Ling",1395,11231
"Sang Chokhor ",418,"7874; 8397"
"Sang Ngak Tekchokling",515,9052
"Sangngak Choling",1518,"12839; 13686"
"Sangngak Choling Sikkim",1527,13687
"Sangngak Dechen Ling",451,7053
Sango,1112,8754
"Sangpu Neutok",91,"1831; 2137; 2683; 2823; 2882; 2896; 2912; 2919; 3469; 3671; 3744; 3762; 3877; 3936; 3938; 3939; 4113; 4114; 4164; 4168; 4276; 4727; 4935; 5331; 5693; 5849; 6159; 6351; 6646; 6735; 7093; 8106; 8986; 9062; 9095; 9201; 9213; 9482; 9634; 9795; 10168; 10298; 10480; 10579; 10683; 13073; 13195; 13234"
"Sangsang Dungkar",486,7945
"Sani Gonpa",1305,"3152; 6076; 7442; 13740; 13743"
Sarnath,1606,3822
Sarwahai,1645,"3627; 9612"
"Se Trabzang",514,"1639; 3004; 3010; 7767; 13650"
"Sechang ",395,2788
"Segyu Dratsang",573,3762
"Sekhar Gutok",15,"2662; 2665; 3178; 4354; 4358; 5511; 9126; 10355; 10878; 11385"
Sekharchung,618,"2812; 5408; 11307"
"Sekya Tashi Gepel Ling",296,4402
Semnyi,812,5436
"Sengchen Namdrak",1463,"8181; 9278; 13653; 13659"
"Sengchen Namdrak Monastery",1467,"13653; 13659"
"Sengge Shong Mago",1044,8861
"Sengge Shong Yago",1045,8861
"Sengge Yumtso",1346,"4291; 8181"
Senmo,585,13221
"Sera (India)",1585,8156
"Sera Choding",572,"5317; 8986"
"Sera Je",348,"2327; 2974; 3782; 3783; 3784; 3786; 3877; 4265; 4282; 4496; 4498; 4642; 5479; 5485; 6529; 6580; 7232; 7305; 8079; 8103; 9049; 9053; 9062; 10146; 13548"
"Sera Me",349,"2419; 2755; 2819; 3134; 3712; 3730; 3989; 4278; 4279; 4489; 4497; 4500; 5706; 6978; 6979; 7182; 7565; 8097; 13171; 13666"
"Sera Monastery",37,"1586; 1637; 1831; 2328; 2329; 2418; 2462; 2787; 2819; 2871; 2931; 2949; 2952; 3008; 3085; 3107; 3274; 3307; 3414; 3708; 3712; 3782; 3783; 3784; 3786; 3792; 3793; 3794; 3795; 3877; 3989; 4141; 4259; 4265; 4282; 4314; 4487; 5317; 5415; 5485; 5641; 5706; 5729; 5777; 5795; 5805; 5871; 5901; 5932; 5953; 6175; 6470; 6526; 6529; 6874; 6978; 7182; 7232; 7240; 8079; 8099; 8103; 8986; 9126; 9213; 9839; 9873; 10480; 11114; 12479; 12828; 13094; 13098; 13102; 13103; 13105; 13110; 13167; 13173; 13519; 13531; 13706"
"Sera Ngakpa Dratsang",907,5795
"Sera Tekchen Chokhorling",1070,10083
"Sera Utse",322,1586
Serding,1153,6672
Serdokchen,105,"2790; 3004; 6351; 9213; 9923; 10623; 10742; 12553; 13063; 13064"
Serjong,1490,"4820; 13707"
"Serkyi Gyelgo",534,"4115; 11417"
"Serlung Monastery ",347,5729
Sershul,469,"6470; 10093"
"Seula Chokhor Dorjeden",1072,"7803; 7815"
Sewalung,228,3168
"Shadrang ",1248,2854
"Shadzong Ritro",806,2399
"Shakya Shei-Drub Ling",1612,10355
"Shambhala Mountain Center",1448,"11231; 11385"
Shangto,1566,13707
"Shar Yelpuk ",157,"7636; 7637"
"Shardza Hermitage",1361,10961
Shardzong,403,6548
"Sharkyo Ganden Monastery",705,13234
Shatra,902,9301
"Shauk Tago",1289,2683
Shechen,13,"4291; 4358; 5151; 5159; 5164; 5166; 6668; 8574; 8825; 9047; 9213; 9525; 9622; 9884; 9895; 9990; 10093; 10146; 11231; 13227; 13228; 13453; 13454; 13455"
"Shel Monastery",396,2788
"Shide Dratsang",900,"3107; 4309; 11798"
"Shitsang Gonsar",361,"2506; 6198; 6928; 6929; 7876; 7876; 7877; 7881; 7882; 7937"
"Sho Monastery",160,3469
"Shol Printery",889,"3307; 6065"
Shopamdo,813,29
"Shri Karma Raja Mahavihara",1513,"11385; 12839"
Shukchung,1309,9945
"Shukden Lhakhang",1598,"10203; 12745"
"Shukgang Monastery",1105,8754
"Shukjung Monastery",1320,"13617; 13688; 13817; 13850"
Shukseb,85,"5; 3152; 13628; 13843"
"Simda Dzogchen Monastery",700,"5151; 5159; 13227; 13228; 13453; 13454; 13455"
"Sinmo Dzong ",259,9254
"Sinpo Ri Lhakhang",1347,"3736; 4358"
"Sokmo Palace",1558,13701
Sonada,1416,12180
"Sorik Dropen Ling",1119,"3109; 5331"
Spituk,1406,13652
"Sravasti Abbey",1736,13884
"Śrī Siṃha College",439,"3485; 4228; 4358; 5024; 5041; 5044; 5048; 5078; 5115; 5117; 5120; 5121; 7272; 7551; 7559; 9047; 9203; 9355; 9585; 9588; 9589; 9593; 9601; 9622; 9895; 10093; 10355; 11426; 11427; 11435; 11444; 11445; 11487; 11488; 11489; 11490; 11491; 12906; 12980; 13162; 13178; 13181; 13679; 13721"
"St. Joseph's School",1374,"13545; 13583; 13611; 13628"
Stakna,1587,"13743; 13825"
"Stok Royal Palace",1407,13652
Stongdey,1421,"7305; 13823"
"Surkhang Manor House",728,"2423; 11790; 11796; 11798"
"Surkhang Printery",1298,2423
Swayambhunath,172,"2510; 3152; 4354; 6856; 7007; 7870; 8782; 9372; 10355; 11385; 12839"
Tabka,1437,8730
Tabo,719,10199
"Tachogang Lhakhang",1162,7622
"Tak Monastery",288,2948
Takdo,498,6635
"Taklung Drak",1230,5317
"Taklung Drilung",1306,9172
"Taklung Ganden Damcho Ling",831,5729
"Taklung Monastery",80,"3101; 3139; 4086; 4114; 4368; 7637; 9126; 9172; 9254; 10315; 11141; 11285; 13068; 13071; 13080; 13141; 13707"
"Taklung Tarling Chode",1237,10579
"Takmo Lingkha",1492,12553
"Takmogang Kelzang Puntsok Ling",427,"6668; 8578; 9546; 10412; 10413; 10414; 10415; 11487"
"Takpu Chode",317,"5953; 6441; 13241"
"Takten Puntsok Choling",1661,11437
"Takten Puntsok Ling ",110,"2712; 4150; 4358; 5985; 6567; 10961; 11183; 11437; 11731; 12180"
"Taktsang Lhamo Kīrti",1426,"3049; 13655"
"Taktsang Monastery",1299,6548
"Taktsang Rawato ",402,"6505; 6548; 6648"
"Taktse Hermitage",1363,"7442; 10961"
"Taktse Rinchen Gang",324,"5432; 6872; 10480; 13112"
Taktser,870,13805
"Talang ",377,7918
"Talo Sangngak Choling ",380,"8355; 13747; 13749"
"Tamshing Lhakhang",400,3000
"Tanak Dorjeden",952,12883
"Tanak Pu Monastery",1240,5803
"Tanak Serling",269,1985
"Tanak Tubten Namgyel ",270,"1985; 10452; 10528; 12479; 12553; 12613; 13248; 13721; 13788"
"Tangkya Lhakhang ",143,"6286; 8097"
Tango,308,"7601; 7622; 7815; 8028; 10531; 10857"
Tangpoche,195,5717
"Tangring Monastery",339,3758
Tangsak,1439,8730
"Tangtong Gyelpo Lhakhang",1597,12745
"Tarde Monastery",1199,4358
Tarlam,178,"1831; 4820; 10355; 10815; 11883; 12500; 13186; 13248; 13249; 13677"
"Tarpa Tse",1655,8972
"Tartse Labrang",1617,"13246; 13647; 13795; 13796; 13797"
Taser,1520,13684
"Tashi Chokhor Ling",508,9929
"Tashi Choling (Oregon)",1719,10019
"Tashi Choling Hermitage",1020,3989
"Tashi Cholung",285,"2328; 3778; 3782; 4276; 5137; 13095; 13097"
"Tashi Chopel Dratsang",984,"7069; 7162"
"Tashi Dokha",962,"4358; 13073"
"Tashi Gang",704,13233
"Tashi Gepel Ling",1100,4631
"Tashi Gomang",1713,9083
"Tashi Lhunpo (India)",1586,8156
"Tashi Pende",278,"2328; 3778; 3788; 3789; 3791; 6340; 6690; 8116; 13095; 13096; 13102; 13113"
"Tashi Podrang",1349,4358
"Tashi Samten Ling",517,"1901; 1902"
"Tashi Tongmon",949,11441
"Tashi Yanggon",1094,8474
Tashichoedzong,387,"2789; 7815; 8028; 10531"
Tashigang,1576,12403
Tashilhunpo,39,"40; 1586; 2180; 2328; 2339; 2418; 2462; 2787; 2912; 2949; 2953; 3141; 3152; 3307; 3414; 3758; 3782; 3791; 3822; 3877; 3883; 3989; 4077; 4265; 4380; 4631; 5317; 5426; 5729; 5805; 5871; 5899; 6175; 6219; 6526; 6746; 6788; 6910; 6953; 7240; 7297; 7525; 8156; 9289; 9693; 9839; 9873; 10168; 10687; 10961; 11114; 11417; 11437; 11575; 11731; 12521; 12828; 13173; 13203; 13510; 13628"
"Tashilhunpo Shartse Dratsang",344,"2442; 3758"
Tashilung,531,4359
"Tasho Pomdrak ",419,"4140; 9213"
"Tatsak Lhundrub Dechen",539,"2330; 4168; 6746"
"Tawu Sangngak Chokdrub Ling",1515,8906
"Tekchen Choling Tsuklagkhang",1678,11437
Tengyeling,723,8538
Tenpel,1634,12981
Terdrom,822,"8964; 9171; 9469; 13613"
"Tergar Ösel Ling",1538,12839
Terlam,1579,13867
"Terlung Yiga Chodzin Ling",479,"6045; 7170; 7171; 7172"
"Tetung Monastery",338,5899
"Thangu Monastery",1686,9764
Tharlam,1573,10355
Tharpaling,1066,"2882; 3000; 6671; 13127"
"Thikse Monastery",1283,"40; 7305; 8156"
"To Jayul Monastery",353,"4488; 4494; 5822; 7090"
"Tokden Monastery",1179,13574
"Toling Monastery",352,"4487; 5415; 6526; 7113; 10199; 11056"
"Tolung Namgyel",121,"3940; 4113"
"Tolung Takma",292,"2638; 3890"
"Tolung Tsendro",1388,6441
"Tolung Yangwen Pelgon",586,13222
"Tongkhor Ganden Chokhor Ling ",440,"2755; 3134; 3730; 3733; 3734; 3735; 3738; 3739; 5479; 6419; 8861; 9873"
"Tongkhor Tashilhunpo",411,"1575; 2755; 2996; 3708; 3712; 9873; 13166; 13167; 13171; 13173"
Tongkyab,490,7945
