person_id,initial_approval_date,update_date
2789,2008-08-01 00:00:00,
2790,2008-08-01 00:00:00,
2791,2017-12-12 14:48:43,
2798,2008-08-01 00:00:00,
2799,2008-08-01 00:00:00,
2801,2008-08-01 00:00:00,
2803,2008-08-01 00:00:00,
2806,2008-08-01 00:00:00,
2810,2011-07-27 16:25:58,
2812,2008-08-01 00:00:00,
2814,2010-10-01 00:00:00,
2816,2010-10-01 00:00:00,
2819,2011-01-01 00:00:00,
2823,2008-08-01 00:00:00,
2845,2012-09-18 15:56:14,
2854,2017-09-14 15:24:22,
2866,2010-05-01 00:00:00,
2871,2010-09-01 00:00:00,
2872,2010-12-01 00:00:00,
2882,2021-01-14 22:15:35,
2891,2010-02-01 00:00:00,
2896,2014-03-03 13:42:26,
2899,2008-08-01 00:00:00,
2912,2010-09-01 00:00:00,
2915,2011-06-23 16:22:40,
2916,2011-06-03 12:19:52,
2918,2024-03-11 14:50:56,
2919,2011-06-03 12:22:12,
2926,2011-06-14 13:41:36,
2931,2012-10-19 00:00:00,
2943,2012-07-19 19:29:01,
2945,2023-05-18 14:48:52,
2948,2010-12-29 9:38:31,
2949,2011-04-19 11:10:54,
2952,2010-10-01 00:00:00,
2953,2024-08-08 16:42:11,
2973,2016-05-20 11:10:25,
2974,2012-10-26 21:46:24,
2980,2010-03-01 00:00:00,
2987,2016-06-13 11:05:42,
2992,2024-01-24 21:58:09,
2996,2011-06-01 00:00:00,
2997,2014-01-24 11:20:57,
3000,2011-04-01 00:00:00,
3004,2024-08-19 21:49:51,
3006,2013-05-01 00:00:00,
3008,2010-10-01 00:00:00,
3010,2013-05-15 18:43:30,
3020,2011-08-01 00:00:00,
3028,2010-03-01 00:00:00,
3040,2010-10-01 00:00:00,
3049,2013-04-22 19:17:34,
