historical_period_facet_id,person_id,default_name,birth_year,death_year,birth_approx,death_approx,historical_period_id,historical_period_name
16667,8753,"Jamyang Sherab Chokyi Nangwa",1854,1893,0,0,73,"19th Century"
16672,11245,"Karma Lhawang",NULL,NULL,0,0,73,"19th Century"
16675,4691,"Gyurme Tsewang Chokdrub",1761,1829,0,0,73,"19th Century"
16680,9764,"Ngawang Chokyi Gyatso",1755,1831,0,0,73,"19th Century"
16681,3436,"Losel Drolma",1802,1861,0,0,73,"19th Century"
16685,8592,"Tsewang Rigdzin Gyatso",NULL,NULL,0,0,73,"19th Century"
16687,7254,"Gyurme Tenpa Namgyel",1886,1952,0,0,73,"19th Century"
16692,12982,"Polu Khenpo Dorje",1897,1970,0,0,73,"19th Century"
16698,9083,"Apang Terton",1895,1945,0,0,73,"19th Century"
16720,11277,"Tashi Puntsok",NULL,NULL,0,0,73,"19th Century"
16743,13856,"Kelzang Choying Gyatso",NULL,NULL,0,0,73,"19th Century"
16786,9935,"Tubten Chowang Nyamnyi Dorje",1886,1933,0,0,73,"19th Century"
16791,4611,"Shabkar Tsokdruk Rangdrol",1781,1851,0,0,73,"19th Century"
16804,8181,"Chokgyur Lingpa",1829,1870,0,0,73,"19th Century"
16831,8343,"Sherab Gyeltsen",1772,1848,0,0,73,"19th Century"
16836,8397,"Yeshe Ngodrub",1851,1917,0,0,73,"19th Century"
16870,13839,"name unknown",1739,1828,0,0,73,"19th Century"
16871,13840,"name unknown",1839,1893,0,0,73,"19th Century"
16879,4727,"Konchok Tenpai Gyeltsen",1783,1848,0,0,73,"19th Century"
16909,13857,"Tubten Woden",NULL,NULL,0,0,73,"19th Century"
16913,13588,"Danzan Ravjaa",1803,1857,0,0,73,"19th Century"
16915,13894,"Dekyi Chodron",1832,1887,1,0,73,"19th Century"
16954,2730,"Karma Shedrub Chokyi Sengge",1892,1957,0,0,73,"19th Century"
17009,13796,"Wara Zhabdrung Jamyang Namkha Gyeltsen",1830,NULL,1,0,73,"19th Century"
17012,4291,"Jamyang Khyentse Wangpo",1820,1892,0,0,73,"19th Century"
17065,4476,"Zilnon Namkhai Dorje",NULL,NULL,0,0,73,"19th Century"
17130,13209,"Ngawang Kunzang Dechen Wangmo",1857,1897,0,0,73,"19th Century"
17162,10253,"Choying Dechen Tsomo",1805,1843,0,0,73,"19th Century"
17253,4469,"Lungtok Gyatso",1805,1815,0,0,73,"19th Century"
17259,11297,"Tsere Khandro Khacho Wangmo",1895,2007,0,0,73,"19th Century"
17283,8579,"Gyiling Tukchok Dorje",1806,1856,0,0,73,"19th Century"
17302,8782,"Śākya Śrī",1853,1919,0,0,73,"19th Century"
17332,11508,"Lhamo Lhamchung",NULL,NULL,0,0,73,"19th Century"
17400,13922,"Akye Terchen Orgyen Kacho Lingpa",1893,1939,0,0,73,"19th Century"
17403,9612,"Do Khyentse Yeshe Dorje",1800,1866,0,0,73,"19th Century"
17423,4524,"Lobzang Chodrak Gyatso",1795,1843,0,0,73,"19th Century"
17425,6634,"Lobzang Trinle Gyatso",1844,1856,0,0,73,"19th Century"
17427,5490,"Lobzang Tenpai Gyeltsen",1858,1915,0,0,73,"19th Century"
17442,9709,"Terse Drime Wozer",1881,1924,0,0,73,"19th Century"
17482,4358,"Jamgon Kongtrul Lodro Taye",1813,1899,0,0,73,"19th Century"
17484,3020,"Mingyur Namkhai Dorje",1793,1870,0,0,73,"19th Century"
17486,8,"Pelden Chime Takpai Dorje",1851,1898,0,1,73,"19th Century"
17489,4228,"Mipam Gyatso",1846,1912,0,0,73,"19th Century"
17506,8754,"Dongak Tendzin",1830,1892,0,0,73,"19th Century"
17510,5164,"Peljor Gyatso",1771,1807,0,0,73,"19th Century"
1980,8752,"Ngawang Lodro Drakpa",1920,1975,0,0,77,"20th Century"
3969,3889,"Jigme Damcho Gyatso",1898,1946,0,0,77,"20th Century"
4030,2788,"Jigme Trinle Gyatso",1866,1948,0,0,77,"20th Century"
5513,13101,"Jampel Kelzang Jigme Chokyi Gyeltsen",1934,1948,0,0,77,"20th Century"
5515,13100,"Lobzang Trinle Namgyel",1915,1933,0,0,77,"20th Century"
5562,9646,"Tubten Chokyi Dorje",1872,1935,0,0,77,"20th Century"
5576,13151,"Konchok Tenpai Nyima",1889,1924,1,1,77,"20th Century"
5584,11432,"Guru Tsewang",1896,1935,0,1,77,"20th Century"
5861,2521,"Lobzang Trinle Lungtok Gyatso",1916,1978,0,0,77,"20th Century"
5959,2235,"Kelzang Lungrik Gyatso",1901,1954,0,0,77,"20th Century"
6037,2456,"Khyenrab Yonten Gyatso",1837,NULL,1,0,77,"20th Century"
6046,9049,"Lobzang Gyeltsen",NULL,1932,0,0,77,"20th Century"
6052,9051,"Yeshe Wangden",NULL,1943,0,1,77,"20th Century"
6199,8575,"Jigme Dechen Dorje",1899,1939,0,1,77,"20th Century"
6219,3977,"Giteng Lobzang Pelden",1880,1944,0,0,77,"20th Century"
6464,13163,"Tenpai Nyima",1857,1925,1,0,77,"20th Century"
6598,9884,"Pema Tekchok Tenpai Gyeltsen",1864,1909,0,0,77,"20th Century"
6895,11435,"Jigme Lodro",1879,1955,0,0,77,"20th Century"
6905,4478,"Orgyen Trinle Dorje",1906,1949,0,0,77,"20th Century"
6954,13177,"Lobzang Jigme Tendzin Gyatso",1953,1987,0,0,77,"20th Century"
6995,13178,"Tubten Lungrik Gyatso",1939,1959,1,0,77,"20th Century"
7001,5048,"Konchok Zangpo",1862,NULL,0,0,77,"20th Century"
7011,9203,"Yonten Gonpo",1899,1959,0,0,77,"20th Century"
7039,10169,"Jikdrel Jangchub Dorje",1935,1959,0,0,77,"20th Century"
7055,7945,"Dongak Chokyi Gyatso",1903,1957,0,0,77,"20th Century"
7086,9929,"Khenpo Munsel",1916,1993,0,0,77,"20th Century"
7240,1902,"Kelzang Lodro Kunga Lungtok Gyatso",1905,1920,0,0,77,"20th Century"
7419,7169,"Lobzang Shedrub Gyatso",1922,2001,0,0,77,"20th Century"
7421,11417,"Sanggye Tsepel",1917,1998,0,0,77,"20th Century"
7477,5122,"Tsering Chojor",1928,1959,0,0,77,"20th Century"
7882,9588,"Tubten Nyendrak",1883,1959,0,0,77,"20th Century"
8012,11003,"Jampel Gyepai Dorje",1894,1958,0,0,77,"20th Century"
8022,13204,"Demchok Dorje",1898,1940,0,0,77,"20th Century"
8118,13227,"Gyurme Pema Tekchok",1890,1963,0,0,77,"20th Century"
8377,8596,"Gyurme Kelzang Tobgyel Dorje",1937,1979,0,0,77,"20th Century"
8512,9703,"Tenpa Tsering",1921,1941,0,0,77,"20th Century"
8640,13149,"Konchok Jigme Wangpo",1953,1961,0,0,77,"20th Century"
8761,9053,"Lhundrub Tsondru",NULL,1949,0,0,77,"20th Century"
8806,10482,"Lama Pema Tsewang",1926,2009,0,0,77,"20th Century"
9052,13455,"Gyurme Tubten Nyinje",1906,1942,0,0,77,"20th Century"
9270,7272,"Bamda Gelek",1844,1904,0,0,77,"20th Century"
9294,4285,"Jigme Chokyi Wangchuk",1842,1913,0,0,77,"20th Century"
9496,3989,"Dechen Nyingpo",1878,1941,0,0,77,"20th Century"
9605,11427,"Sonam Chopel",NULL,NULL,0,0,77,"20th Century"
9614,12906,"Tubten Trinle Gyatso",1897,1959,1,0,77,"20th Century"
9935,4642,"Sherab Gyatso",1884,1968,0,0,77,"20th Century"
9989,9442,"Orgyen Tendzin Gyatso",NULL,NULL,0,0,77,"20th Century"
10562,10146,"Tubten Tsondru",1920,1979,0,0,77,"20th Century"
10734,13546,"Lo Gendun Sadutshang",NULL,1959,0,0,77,"20th Century"
10767,13548,"Wangchuk Dorje Sadutshang",NULL,NULL,0,0,77,"20th Century"
10785,11279,"Kunzang Gyurme",NULL,NULL,0,0,77,"20th Century"
11001,13562,"Lhagyari Tobjor Wangchuk",NULL,NULL,0,0,77,"20th Century"
11028,13563,"Lhagyari Jigme Wangchuk",NULL,1960,0,0,77,"20th Century"
11061,6331,"Pema Wangchuk",1929,NULL,0,0,77,"20th Century"
11109,11796,"Tseten Chodzom",1890,1959,1,0,77,"20th Century"
11133,6395,"Tsunma Yulha",1901,1980,0,0,77,"20th Century"
11378,4077,"Lobzang Jangchub Tenpei Dronme",1861,1933,0,0,77,"20th Century"
