TOL Source ID,Source,PLACE ID,Source Display,Pages,BDRC ID,VIAF ID,OCLC ID,url other,Source Lang Tag,Source Display Lang Tag
8,,1431,"<p>
Anon. <em>Dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>, vol. 2, pp. 477-490.</p>",,MW19997,,,,,
8,,1433,"<p>
Anon. 1995. <em>Dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>, vol. 2, pp. 591-595. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang</p>",591-595,MW19997,,,,,
8,,1435,"<p>
Anon. 1995. <em>Dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>, vol. 2, pp. 595-598. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang.</p>",595-598,MW19997,,,,,
8,,1434,"<p>
Anon. 1995. <em>Dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>, vol. 3, pp. 20-21. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang</p>",20-21,MW19997,,,,,
8,,1429,"<p>
Anon. 1995.&nbsp; <em>Dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang,&nbsp;vol. 3, pp. 91-92</p>",91-92,MW19997,,,,,
8,,1630,"<p>
Anon.&nbsp;<em>Dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, pp. 163-168.</p>",163-168,MW19997,,,,,
8,,1632,"<p>
Anon.&nbsp;<em>Dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, pp. 543-545.</p>",543-545,MW19997,,,,,
8,,447,"<p>
Anon.<em> Dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, pp. 173-177.</p>",173-177,MW19997,,,,,
8,,1316,"<p>
dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa/ Volume 3, p. 423.</p>",423,MW19997,,,,,
8,,1562,"<p>
Krung go&#39;i bod kyi shes rig zhib &#39;jug ste gnas. 1995. <em>Drwa ma dgon gyi lo rgyus</em>. In <em>Khams phyogs dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pathub bstan gsal ba&#39;i me long</em>. Vol. 1, pp. 454-455. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang, 1995.</p>",,MW19997,,,,,
8,,1567,"<p>
Krung go&#39;i bod kyi shes rig zhib &#39;jug ste gnas. Mgon gzigs rab brtan dgon gi lo rgyus. In Khams phyogs dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pathub bstan gsal ba&#39;i me long. Vol. 3, p. 485. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang, 1995.</p>",,MW19997,,,,,
8,,1556,"<p> Krung go&#39;i bod kyi shes rig zhib &#39;jug ste gnas.&nbsp;Brag Mkhar dgon pa&#39;i lo rgyus. In&nbsp;Khams <em>phyogs dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa thub bstan gsal ba&#39;i me long</em>. Vol. 3, pp. 9-11. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang, 1995.</p>",9-11,MW19997,,,,,
8,,1322,"<p>&#39;jigs med bsam grub . <em>dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa/</em>. TBRC W19997. 3 vols. pe cin: krung go&#39;i bod kyi shes rig dpe skrun khang, 1995, pp. 414-418.</p>",414-418,MW19997,,,,,
8,,1491,"<p>&#39;Jigs med bsam grub, ed. 1995. <em>&#39;Gu zi dgon gyi lo rgyus</em>. In <em>Dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>, p. 464. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang.</p>",464,MW19997,,,,,
8,,1415,"<p>&#39;Jigs med bsam grub, ed. 1995. <em>Ban rgan dgon pa (dkar mdzes rdzong)</em>. In <em>Dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>, vol. 1, pp. 182-191. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang.</p>",182-191,MW19997,,,,,
8,,1339,"<p>&#39;Jigs med bsam grub, ed. 1995. <em>Lha &#39;brang dgon gyi lo rgyus</em>. In <em>Dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>, vol. 1, pp. 548-550. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang.</p>",548-550,MW19997,,,,,
